time,G(i),H_sun,T2m,WS10m,Int
20110117:0910,136.22,13.94,2.87,0.9,0.0
20110117:1010,128.12,21.31,3.94,0.69,0.0
20110117:1110,135.26,26.45,5.11,0.41,0.0
20110117:1210,159.66,28.78,6.5,0.41,0.0
20110117:1310,184.22,27.97,8.06,0.34,0.0
20110117:1410,154.5,24.14,9.27,0.48,0.0
20110117:1510,196.08,17.79,10.02,0.62,0.0
20110117:1610,159.73,9.52,9.8,0.83,0.0
20110117:1710,0.0,0.0,9.07,0.9,0.0
20110117:1810,0.0,0.0,7.82,0.83,0.0
20110117:1910,0.0,0.0,6.36,0.83,0.0
20110117:2010,0.0,0.0,6.6,0.62,0.0
20110117:2110,0.0,0.0,6.37,0.48,0.0
20110117:2210,0.0,0.0,5.98,0.48,0.0
20110117:2310,0.0,0.0,5.14,0.97,0.0
20110118:0010,0.0,0.0,2.91,1.38,0.0
20110118:0110,0.0,0.0,1.92,1.38,0.0
20110118:0210,0.0,0.0,1.7,1.17,0.0
20110118:0310,0.0,0.0,1.7,1.03,0.0
20110118:0410,0.0,0.0,1.6,1.03,0.0
20110118:0510,0.0,0.0,1.48,1.1,0.0
20110118:0610,0.0,0.0,1.29,1.24,0.0
20110118:0710,0.0,0.0,1.78,1.24,0.0
20110118:0810,172.59,5.05,2.01,1.17,0.0
20110118:0910,252.15,14.06,3.44,1.17,0.0
20110118:1010,391.11,21.45,4.84,1.17,0.0
20110118:1110,435.45,26.62,6.39,0.97,0.0
20110118:1210,771.22,28.98,7.92,0.97,0.0
20110118:1310,729.44,28.18,9.15,0.83,0.0
20110118:1410,568.67,24.36,9.82,0.62,0.0
20110118:1510,306.23,18.0,10.21,0.62,0.0
20110118:1610,152.26,9.73,10.1,0.55,0.0
20110118:1710,0.0,0.0,9.41,0.48,0.0
20110118:1810,0.0,0.0,8.33,0.83,0.0
20110118:1910,0.0,0.0,6.4,1.38,0.0
20110118:2010,0.0,0.0,5.4,1.59,0.0
20110118:2110,0.0,0.0,4.48,1.66,0.0
20110118:2210,0.0,0.0,3.9,1.59,0.0
20110118:2310,0.0,0.0,3.27,1.66,0.0
20110119:0010,0.0,0.0,2.66,1.79,0.0
20110119:0110,0.0,0.0,2.34,1.86,0.0
20110119:0210,0.0,0.0,2.05,1.86,0.0
20110119:0310,0.0,0.0,2.02,1.79,0.0
20110119:0410,0.0,0.0,1.89,1.79,0.0
20110119:0510,0.0,0.0,1.65,1.79,0.0
20110119:0610,0.0,0.0,1.66,1.79,0.0
20110119:0710,0.0,0.0,2.22,1.66,0.0
20110119:0810,188.53,5.15,1.77,1.79,0.0
20110119:0910,155.54,14.18,3.68,1.38,0.0
20110119:1010,313.88,21.6,6.63,1.45,0.0
20110119:1110,486.39,26.8,8.02,1.72,0.0
20110119:1210,636.28,29.18,9.13,1.93,0.0
20110119:1310,698.63,28.4,9.86,1.86,0.0
20110119:1410,485.39,24.58,10.59,1.72,0.0
20110119:1510,382.77,18.21,10.81,1.59,0.0
20110119:1610,146.19,9.93,10.73,1.24,0.0
20110119:1710,0.0,0.31,9.9,1.38,0.0
20110119:1810,0.0,0.0,8.42,1.72,0.0
20110119:1910,0.0,0.0,7.05,1.59,0.0
20110119:2010,0.0,0.0,5.57,1.52,0.0
20110119:2110,0.0,0.0,4.88,1.31,0.0
20110119:2210,0.0,0.0,4.62,1.1,0.0
20110119:2310,0.0,0.0,4.05,1.17,0.0
20110120:0010,0.0,0.0,3.71,1.31,0.0
20110120:0110,0.0,0.0,2.6,1.45,0.0
20110120:0210,0.0,0.0,2.03,1.45,0.0
20110120:0310,0.0,0.0,1.59,1.52,0.0
20110120:0410,0.0,0.0,1.22,1.52,0.0
20110120:0510,0.0,0.0,0.92,1.59,0.0
20110120:0610,0.0,0.0,0.18,1.66,0.0
20110120:0710,0.0,0.0,0.72,1.59,0.0
20110120:0810,231.13,5.26,1.0,1.52,0.0
20110120:0910,520.64,14.31,3.12,1.24,0.0
20110120:1010,283.6,21.76,6.4,1.24,0.0
20110120:1110,323.18,26.99,8.38,1.45,0.0
20110120:1210,366.75,29.39,9.58,1.86,0.0
20110120:1310,586.6,28.62,10.08,2.0,0.0
20110120:1410,793.56,24.8,10.32,2.0,0.0
20110120:1510,578.34,18.43,10.25,1.79,0.0
20110120:1610,332.06,10.14,10.02,1.31,0.0
20110120:1710,0.0,0.51,9.3,0.97,0.0
20110120:1810,0.0,0.0,7.96,1.1,0.0
20110120:1910,0.0,0.0,6.37,1.66,0.0
20110120:2010,0.0,0.0,4.66,2.14,0.0
20110120:2110,0.0,0.0,4.02,2.76,0.0
20110120:2210,0.0,0.0,3.61,3.1,0.0
20110120:2310,0.0,0.0,2.92,2.97,0.0
20110121:0010,0.0,0.0,2.09,2.83,0.0
20110121:0110,0.0,0.0,1.32,2.76,0.0
20110121:0210,0.0,0.0,0.51,2.83,0.0
20110121:0310,0.0,0.0,-0.23,2.83,0.0
20110121:0410,0.0,0.0,-0.89,2.83,0.0
20110121:0510,0.0,0.0,-1.31,2.97,0.0
20110121:0610,0.0,0.0,-1.42,3.1,0.0
20110121:0710,0.0,0.0,-1.76,2.76,0.0
20110121:0810,236.19,5.37,-1.73,2.9,0.0
20110121:0910,516.79,14.45,0.04,2.83,0.0
20110121:1010,721.36,21.92,2.23,3.24,0.0
20110121:1110,857.64,27.18,3.46,3.38,0.0
20110121:1210,912.73,29.6,4.44,3.72,0.0
20110121:1310,892.9,28.85,5.29,4.14,0.0
20110121:1410,790.39,25.03,5.91,4.28,0.0
20110121:1510,599.16,18.65,6.07,4.34,0.0
20110121:1610,356.27,10.36,5.64,3.86,0.0
20110121:1710,0.0,0.71,4.49,3.03,0.0
20110121:1810,0.0,0.0,2.87,2.76,0.0
20110121:1910,0.0,0.0,2.04,2.76,0.0
20110121:2010,0.0,0.0,0.86,2.69,0.0
20110121:2110,0.0,0.0,-0.35,2.55,0.0
20110121:2210,0.0,0.0,-1.6,2.41,0.0
20110121:2310,0.0,0.0,-2.62,2.48,0.0
20110122:0010,0.0,0.0,-3.23,2.48,0.0
20110122:0110,0.0,0.0,-3.67,2.34,0.0
20110122:0210,0.0,0.0,-4.08,2.28,0.0
